@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute lpx numeric
@attribute lpy numeric
@attribute lpz numeric
@attribute lrx numeric
@attribute lry numeric
@attribute lrz numeric
@attribute lrw numeric
@attribute rpx numeric
@attribute rpy numeric
@attribute rpz numeric
@attribute rrx numeric
@attribute rry numeric
@attribute rrz numeric
@attribute rrw numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 {0,1,2,3,4,5}

@data
1,'2020/05/05 21:00:38:417',2,-0.40551,0.649266,-0.284058,0.3189,0.290075,-0.373035,-0.821586,0.058196,1.141943,-0.53558,0.832215,0.251248,0.26964,-0.414231,?,?,?,?,?,1
2,'2020/05/05 21:00:38:434',2,-0.40551,0.649266,-0.284058,0.3189,0.290075,-0.373035,-0.821586,0.05842,1.142046,-0.535362,0.831738,0.25071,0.270882,-0.414705,?,?,?,?,?,1
3,'2020/05/05 21:00:38:440',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.058885,1.142166,-0.53506,0.831374,0.249056,0.272738,-0.415213,?,?,?,?,?,1
4,'2020/05/05 21:00:38:449',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.059705,1.142313,-0.53461,0.831362,0.245167,0.275115,-0.415984,?,?,?,?,?,1
5,'2020/05/05 21:00:38:466',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.060722,1.142446,-0.534141,0.831475,0.24056,0.278058,-0.41649,?,?,?,?,?,1
6,'2020/05/05 21:00:38:478',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.061631,1.142537,-0.533802,0.831221,0.237793,0.281541,-0.416247,?,?,?,?,?,1
7,'2020/05/05 21:00:38:492',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.062269,1.142672,-0.533421,0.830249,0.236817,0.284998,-0.41639,?,?,?,?,?,1
8,'2020/05/05 21:00:38:506',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.06273,1.142868,-0.532944,0.828604,0.237042,0.288615,-0.417046,?,?,?,?,?,1
9,'2020/05/05 21:00:38:521',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.063053,1.143059,-0.532525,0.827064,0.237571,0.291512,-0.417787,?,?,?,?,?,1
10,'2020/05/05 21:00:38:534',2,-0.40551,0.649266,-0.284058,0.318901,0.290075,-0.373036,-0.821586,0.063209,1.143227,-0.532219,0.826044,0.237827,0.292953,-0.41865,?,?,?,?,?,1
11,'2020/05/05 21:00:38:549',2,-0.40551,0.649266,-0.284058,0.318901,0.290074,-0.373036,-0.821586,0.062984,1.143314,-0.532254,0.82602,0.238485,0.291775,-0.419147,?,?,?,?,?,1
12,'2020/05/05 21:00:38:561',2,-0.40551,0.649266,-0.284058,0.318901,0.290074,-0.373036,-0.821586,0.062737,1.143397,-0.532294,0.826182,0.238771,0.290256,-0.419719,?,?,?,?,?,1
13,'2020/05/05 21:00:38:576',2,-0.40551,0.649266,-0.284058,0.318901,0.290074,-0.373037,-0.821586,0.062665,1.143473,-0.532258,0.82639,0.238203,0.289337,-0.420266,?,?,?,?,?,1
14,'2020/05/05 21:00:38:589',2,-0.40551,0.649266,-0.284058,0.318901,0.290074,-0.373037,-0.821585,0.062679,1.14359,-0.532058,0.826548,0.23656,0.288515,-0.421447,?,?,?,?,?,1
15,'2020/05/05 21:00:38:606',2,-0.40551,0.649266,-0.284058,0.318901,0.290074,-0.373037,-0.821585,0.062744,1.143732,-0.531756,0.826867,0.233771,0.287352,-0.423169,?,?,?,?,?,1
16,'2020/05/05 21:00:38:617',2,-0.40551,0.649266,-0.284058,0.318902,0.290074,-0.373037,-0.821585,0.062945,1.143914,-0.531305,0.826858,0.23058,0.287025,-0.425153,?,?,?,?,?,1
17,'2020/05/05 21:00:38:632',2,-0.40551,0.649266,-0.284058,0.318902,0.290074,-0.373037,-0.821585,0.06334,1.144262,-0.53033,0.825697,0.226359,0.288155,-0.428897,?,?,?,?,?,1
18,'2020/05/05 21:00:38:645',2,-0.40551,0.649266,-0.284058,0.318902,0.290074,-0.373037,-0.821585,0.063784,1.144771,-0.5289,0.823277,0.222017,0.290463,-0.434228,?,?,?,?,?,1
19,'2020/05/05 21:00:38:659',2,-0.40551,0.649266,-0.284058,0.318902,0.290074,-0.373037,-0.821585,0.064028,1.145425,-0.527108,0.820379,0.216559,0.291391,-0.441783,?,?,?,?,?,1
20,'2020/05/05 21:00:38:673',2,-0.40551,0.649267,-0.284058,0.318902,0.290073,-0.373037,-0.821585,0.063672,1.146278,-0.525126,0.818677,0.207576,0.286056,-0.452606,?,?,?,?,?,1
21,'2020/05/05 21:00:38:688',2,-0.40551,0.649267,-0.284058,0.318902,0.290073,-0.373037,-0.821585,0.062948,1.146972,-0.52376,0.820018,0.19536,0.27423,-0.462821,?,?,?,?,?,1
22,'2020/05/05 21:00:38:701',2,-0.40551,0.649267,-0.284058,0.318902,0.290073,-0.373037,-0.821585,0.062027,1.147556,-0.522821,0.82327,0.180796,0.258309,-0.472034,?,?,?,?,?,1
23,'2020/05/05 21:00:38:716',2,-0.40551,0.649267,-0.284058,0.318902,0.290073,-0.373037,-0.821585,0.061169,1.148138,-0.521791,0.826037,0.165897,0.242854,-0.480794,?,?,?,?,?,1
24,'2020/05/05 21:00:38:728',2,-0.40551,0.649267,-0.284058,0.318902,0.290073,-0.373038,-0.821585,0.060573,1.148922,-0.519763,0.825045,0.152978,0.232735,-0.491664,?,?,?,?,?,1
25,'2020/05/05 21:00:38:744',2,-0.405509,0.649267,-0.284058,0.318902,0.290073,-0.373038,-0.821585,0.06003,1.149928,-0.516638,0.820254,0.141995,0.226327,-0.505764,?,?,?,?,?,1
26,'2020/05/05 21:00:38:756',2,-0.405509,0.649267,-0.284058,0.318902,0.290073,-0.373038,-0.821585,0.059086,1.151015,-0.5128,0.813189,0.13171,0.218258,-0.523201,?,?,?,?,?,1
27,'2020/05/05 21:00:38:773',2,-0.405509,0.649267,-0.284058,0.318902,0.290073,-0.373038,-0.821585,0.057358,1.152457,-0.507042,0.801563,0.119123,0.205478,-0.548713,?,?,?,?,?,1
28,'2020/05/05 21:00:38:783',2,-0.405509,0.649267,-0.284058,0.318903,0.290073,-0.373038,-0.821585,0.055895,1.153487,-0.50174,0.791339,0.103109,0.187887,-0.572582,?,?,?,?,?,1
29,'2020/05/05 21:00:38:799',2,-0.405509,0.649267,-0.284057,0.318903,0.290073,-0.373038,-0.821585,0.054481,1.154398,-0.495967,0.780238,0.082867,0.165069,-0.59759,?,?,?,?,?,1
30,'2020/05/05 21:00:38:811',2,-0.405509,0.649267,-0.284057,0.318903,0.290072,-0.373038,-0.821585,0.053207,1.155058,-0.490412,0.768996,0.062815,0.141115,-0.620311,?,?,?,?,?,1
